Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
62821-52176,1B,Max,Max Muncy,Muncy,12.837255141314339,102,9500,PIT@LAD,LAD,PIT,,,,,,MVP - 2X Points/STAR - 1.5X Points/UTIL
62821-65881,SS,Trea,Trea Turner,Turner,12.416980671432784,106,9000,PIT@LAD,LAD,PIT,,,,,,MVP - 2X Points/STAR - 1.5X Points/UTIL
62821-39151,OF,Mookie,Mookie Betts,Betts,12.754022707884339,87,9000,PIT@LAD,LAD,PIT,IL,Hip,,,,MVP - 2X Points/STAR - 1.5X Points/UTIL
62821-79230,OF,Bryan,Bryan Reynolds,Reynolds,11.232173488451087,115,8500,PIT@LAD,PIT,LAD,,,,,,MVP - 2X Points/STAR - 1.5X Points/UTIL
62821-38412,SS,Corey,Corey Seager,Seager,10.471153846153847,52,8000,PIT@LAD,LAD,PIT,,,,,,MVP - 2X Points/STAR - 1.5X Points/UTIL
62821-6312,3B,Justin,Justin Turner,Turner,11.098147922092014,108,7500,PIT@LAD,LAD,PIT,,,,,,MVP - 2X Points/STAR - 1.5X Points/UTIL
62821-79401,C,Will,Will Smith,Smith,10.526803872019974,97,7500,PIT@LAD,LAD,PIT,,,,,,MVP - 2X Points/STAR - 1.5X Points/UTIL
62821-79216,3B,Ke'Bryan,Ke'Bryan Hayes,Hayes,8.279687881469727,64,7500,PIT@LAD,PIT,LAD,,,,,,MVP - 2X Points/STAR - 1.5X Points/UTIL
62821-79159,1B,Cody,Cody Bellinger,Bellinger,8.85499979654948,60,7000,PIT@LAD,LAD,PIT,,,,,,MVP - 2X Points/STAR - 1.5X Points/UTIL
62821-38561,2B,Chris,Chris Taylor,Taylor,11.497367992735745,114,6500,PIT@LAD,LAD,PIT,,,,,,MVP - 2X Points/STAR - 1.5X Points/UTIL
62821-70665,C,Jacob,Jacob Stallings,Stallings,7.849999861283735,88,6000,PIT@LAD,PIT,LAD,,,,,,MVP - 2X Points/STAR - 1.5X Points/UTIL
62821-12970,OF,AJ,AJ Pollock,Pollock,9.572527204241071,91,6000,PIT@LAD,LAD,PIT,,,,,,MVP - 2X Points/STAR - 1.5X Points/UTIL
62821-52168,1B,Colin,Colin Moran,Moran,7.492982563219573,57,5500,PIT@LAD,PIT,LAD,,,,,,MVP - 2X Points/STAR - 1.5X Points/UTIL
62821-79218,SS,Kevin,Kevin Newman,Newman,5.644859813084112,107,5500,PIT@LAD,PIT,LAD,,,,,,MVP - 2X Points/STAR - 1.5X Points/UTIL
