Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
63173-70562,OF,Whit,Whit Merrifield,Merrifield,11.086508130270337,126,9500,KC@SEA,KC,SEA,,,,,1,MVP - 2X Points/STAR - 1.5X Points/UTIL
63173-73159,OF,Mitch,Mitch Haniger,Haniger,11.210655337474385,122,9000,KC@SEA,SEA,KC,,,,,2,MVP - 2X Points/STAR - 1.5X Points/UTIL
63173-13966,3B,Kyle,Kyle Seager,Seager,10.112,125,8500,KC@SEA,SEA,KC,,,,,3,MVP - 2X Points/STAR - 1.5X Points/UTIL
63173-101842,2B,Ty,Ty France,France,10.081196581196581,117,8000,KC@SEA,SEA,KC,,,,,4,MVP - 2X Points/STAR - 1.5X Points/UTIL
63173-13266,C,Salvador,Salvador Perez,Perez,10.550400390625,125,7500,KC@SEA,KC,SEA,,,,,3,MVP - 2X Points/STAR - 1.5X Points/UTIL
63173-52179,SS,J.P.,J.P. Crawford,Crawford,8.00639990234375,125,7000,KC@SEA,SEA,KC,,,,,1,MVP - 2X Points/STAR - 1.5X Points/UTIL
63173-12310,1B,Carlos,Carlos Santana,Santana,9.115322974420362,124,7000,KC@SEA,KC,SEA,DTD,Hip,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63173-68495,OF,Andrew,Andrew Benintendi,Benintendi,8.95858610519255,99,6500,KC@SEA,KC,SEA,,,,,5,MVP - 2X Points/STAR - 1.5X Points/UTIL
63173-116339,3B,Abraham,Abraham Toro,Toro,9.245901639344263,61,6500,KC@SEA,SEA,KC,,,,,5,MVP - 2X Points/STAR - 1.5X Points/UTIL
63173-52162,3B,Hunter,Hunter Dozier,Dozier,7.430275453340023,109,6000,KC@SEA,KC,SEA,,,,,4,MVP - 2X Points/STAR - 1.5X Points/UTIL
63173-79896,C,Luis,Luis Torrens,Torrens,7.918420892012747,76,6000,KC@SEA,SEA,KC,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63173-21074,OF,Michael A.,Michael A. Taylor,Taylor,7.78695652173913,115,5500,KC@SEA,KC,SEA,,,,,6,MVP - 2X Points/STAR - 1.5X Points/UTIL
