Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
63060-60643,OF,Aaron,Aaron Judge,Judge,11.704545454545455,110,9500,NYY@ATL,NYY,ATL,,,,,3,MVP - 2X Points/STAR - 1.5X Points/UTIL
63060-11334,1B,Freddie,Freddie Freeman,Freeman,12.36097580824441,123,9000,NYY@ATL,ATL,NYY,,,,,3,MVP - 2X Points/STAR - 1.5X Points/UTIL
63060-12302,OF,Giancarlo,Giancarlo Stanton,Stanton,10.290291499165656,103,8500,NYY@ATL,NYY,ATL,,,,,5,MVP - 2X Points/STAR - 1.5X Points/UTIL
63060-68587,2B,Ozzie,Ozzie Albies,Albies,12.103278488409323,122,8000,NYY@ATL,ATL,NYY,,,,,1,MVP - 2X Points/STAR - 1.5X Points/UTIL
63060-12940,1B,Anthony,Anthony Rizzo,Rizzo,9.9375,104,7500,NYY@ATL,NYY,ATL,,,,,2,MVP - 2X Points/STAR - 1.5X Points/UTIL
63060-79074,3B,Austin,Austin Riley,Riley,11.154471544715447,123,7500,NYY@ATL,ATL,NYY,,,,,4,MVP - 2X Points/STAR - 1.5X Points/UTIL
63060-23107,OF,Jorge,Jorge Soler,Soler,8.346491228070175,114,7000,NYY@ATL,ATL,NYY,,,,,2,MVP - 2X Points/STAR - 1.5X Points/UTIL
63060-13567,2B,DJ,DJ LeMahieu,LeMahieu,9.339315821981838,117,7000,NYY@ATL,NYY,ATL,,,,,1,MVP - 2X Points/STAR - 1.5X Points/UTIL
63060-38321,OF,Joey,Joey Gallo,Gallo,11.211110693776709,117,6500,NYY@ATL,NYY,ATL,,,,,4,MVP - 2X Points/STAR - 1.5X Points/UTIL
63060-68586,SS,Dansby,Dansby Swanson,Swanson,10.809677616242439,124,6500,NYY@ATL,ATL,NYY,,,,,5,MVP - 2X Points/STAR - 1.5X Points/UTIL
63060-38040,OF,Eddie,Eddie Rosario,Rosario,8.98441542588271,77,6000,NYY@ATL,ATL,NYY,IL,Abdomen,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63060-16945,C,Gary,Gary Sanchez,Sanchez,9.293103448275861,87,6000,NYY@ATL,NYY,ATL,,,,,6,MVP - 2X Points/STAR - 1.5X Points/UTIL
63060-38117,OF,Adam,Adam Duvall,Duvall,10.372973192919481,111,6000,NYY@ATL,ATL,NYY,,,,,6,MVP - 2X Points/STAR - 1.5X Points/UTIL
63060-13864,OF,Joc,Joc Pederson,Pederson,8.833962494472289,106,5500,NYY@ATL,ATL,NYY,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
63060-80838,1B,Luke,Luke Voit,Voit,10.290476481119791,42,5500,NYY@ATL,NYY,ATL,,,,,0,MVP - 2X Points/STAR - 1.5X Points/UTIL
