0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
62174-38000,P,Kevin,Kevin Gausman,Gausman,40.3,20.0,10200,HOU@SF,SF,HOU,,,,Yes,,P,0.0,0.0
62174-53067,P,Chris,Chris Bassitt,Bassitt,35.61904761904762,21.0,9400,OAK@LAA,OAK,LAA,,,,Yes,,P,0.0,0.0
62174-85599,P,Framber,Framber Valdez,Valdez,34.36363636363637,11.0,9200,HOU@SF,HOU,SF,,,,Yes,,P,0.0,0.0
62174-102498,P,Patrick,Patrick Sandoval,Sandoval,29.142857142857146,14.0,8800,OAK@LAA,LAA,OAK,,,,Yes,,P,0.0,0.0
62174-52155,P,Jon,Jon Gray,Gray,25.95,20.0,8400,COL@SD,COL,SD,,,,Yes,,P,0.0,0.0
62174-102343,P,Tony,Tony Gonsolin,Gonsolin,21.0,10.0,7300,LAD@ARI,LAD,ARI,,,,Yes,,P,0.0,0.0
62174-85251,P,Zac,Zac Gallen,Gallen,24.363636363636363,11.0,7200,LAD@ARI,ARI,LAD,,,,Yes,,P,0.0,0.0
62174-102395,P,Ryan,Ryan Weathers,Weathers,15.421052631578947,19.0,7000,COL@SD,SD,COL,,,,Yes,,P,0.0,0.0
