0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
62174-13929,3B,Manny,Manny Machado,Machado,12.02989715890786,97.0,4000,COL@SD,SD,COL,,,,,,3B/UTIL,0.0,0.0
62174-6312,3B,Justin,Justin Turner,Turner,11.031958511195233,97.0,3400,LAD@ARI,LAD,ARI,,,,,,3B/UTIL,0.0,0.0
62174-68544,3B,Matt,Matt Chapman,Chapman,8.760395918742265,101.0,3100,OAK@LAA,OAK,LAA,,,,,,3B/UTIL,0.0,0.0
62174-68514,2B/3B,Ryan,Ryan McMahon,McMahon,9.976041793823242,96.0,3000,COL@SD,COL,SD,,,,,,2B/3B/UTIL,0.0,0.0
62174-13638,2B/3B,Wilmer,Wilmer Flores,Flores,7.834066202352336,91.0,2800,HOU@SF,SF,HOU,,,,,,2B/3B/UTIL,0.0,0.0
62174-5221,1B/3B,Asdrubal,Asdrubal Cabrera,Cabrera,7.7343285404034505,67.0,2700,LAD@ARI,ARI,LAD,,,,,,C/1B/3B/UTIL,0.0,0.0
62174-6029,2B/3B,Jed,Jed Lowrie,Lowrie,8.580612494021047,98.0,2700,OAK@LAA,OAK,LAA,,,,,,2B/3B/UTIL,0.0,0.0
62174-79151,3B,Taylor,Taylor Ward,Ward,8.725397019159226,63.0,2500,OAK@LAA,LAA,OAK,,,,,,3B/UTIL,0.0,0.0
