,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
10,FF,2021-08-18,94.6,1.97,5.76,"Alonso, Pete",624413,459429,,ball,,,,,13,Pete Alonso hit by pitch.,R,R,L,SF,NYM,B,,,0,0,2021,1.1,1.16,-0.36,1.03,,,,0,9,Top,,,,,592200,,,-8.474045387756107,-137.40580206102914,-9.26576103725262,15.75214482458637,26.31116601533229,-15.67600148816916,3.68,1.75,,,,94.6,2050.0,6.1,632850,459429,592200,474832,600303,592178,543063,664774,596103,573262,54.42,,,,,,,,60,1,4-Seam Fastball,1,0,0,1,0,1,0,1,Strategic,Standard,134.0,0.0,0.039
11,FF,2021-08-18,94.8,-1.82,6.43,"Alonso, Pete",624413,641793,field_out,hit_into_play,,,,,5,"Pete Alonso grounds out sharply, shortstop Brandon Crawford to first baseman Brandon Belt.",R,R,R,SF,NYM,X,6.0,ground_ball,0,0,2021,-0.86,1.33,-0.09,2.75,,,,0,4,Top,97.58,135.27,,,592200,,,6.440659932413008,-137.9266923042731,-6.982515710819035,-12.280874497098214,26.899267971390877,-13.861925985476658,3.49,1.6,7.0,101.9,-22.0,95.4,2120.0,6.4,632850,641793,592200,474832,600303,592178,543063,543105,573262,664774,54.11,0.127,0.115,0.0,1.0,0.0,0.0,2.0,24,1,4-Seam Fastball,1,0,0,1,0,1,0,1,Strategic,Standard,205.0,0.027999999999999997,-0.24100000000000002
12,SI,2021-08-17,92.9,-1.74,5.21,"Alonso, Pete",624413,657277,home_run,hit_into_play,,,,,5,Pete Alonso homers (26) on a line drive to left center field.   Brandon Nimmo scores.,R,R,R,SF,NYM,X,,line_drive,0,0,2021,-1.39,-0.04,-0.25,2.51,,,607043.0,1,8,Top,59.84,52.01,,,457763,,,6.903035441750604,-135.09070557249507,-0.9842145487203368,-18.567474041109108,32.28698880551008,-32.63234222709041,3.49,1.6,398.0,106.5,20.0,93.1,1875.0,6.7,632919,657277,457763,474832,600303,446334,543063,664774,596103,573262,53.84,0.7929999999999999,1.217,2.0,1.0,0.0,3.0,6.0,56,1,Sinker,3,0,0,3,2,3,2,3,Standard,Standard,242.0,-0.124,1.7309999999999999
13,SI,2021-08-17,92.4,-1.78,5.23,"Alonso, Pete",624413,657277,field_out,hit_into_play,,,,,5,"Pete Alonso grounds out softly, pitcher Logan Webb to first baseman Brandon Belt.",R,R,R,SF,NYM,X,1.0,ground_ball,1,0,2021,-1.07,-0.14,-0.14,2.58,,,,0,6,Top,123.15,198.52,,,457763,,,6.613165874213249,-134.3536296761283,-0.5749151527854669,-14.393885509317704,29.718214142972638,-34.01797740288899,3.49,1.6,1.0,54.9,-66.0,93.5,1780.0,7.0,632919,657277,457763,474832,600303,446334,543063,543105,573262,664774,53.5,0.19,0.171,0.0,1.0,0.0,0.0,1.0,39,2,Sinker,2,0,0,2,0,2,0,2,Strategic,Standard,244.0,0.03,-0.281
14,SI,2021-08-17,91.5,-1.69,5.2,"Alonso, Pete",624413,657277,,ball,,,,,13,"Pete Alonso grounds out softly, pitcher Logan Webb to first baseman Brandon Belt.",R,R,R,SF,NYM,B,,,0,0,2021,-1.21,-0.31,-1.37,2.22,,,,0,6,Top,,,,,457763,,,3.435726559042414,-133.16123291887794,-0.9189424486921159,-15.161768544406247,30.90034032739489,-35.85422853041017,3.34,1.6,,,,91.7,1814.0,6.6,632919,657277,457763,474832,600303,446334,543063,543105,573262,664774,53.93,,,,,,,,39,1,Sinker,2,0,0,2,0,2,0,2,Strategic,Standard,244.0,0.0,0.039
15,SL,2021-08-17,82.4,-1.88,5.11,"Alonso, Pete",624413,657277,strikeout,swinging_strike,,,,,14,Pete Alonso strikes out swinging.,R,R,R,SF,NYM,S,2.0,,2,2,2021,1.45,-0.09,1.55,2.08,,,,0,4,Top,,,,,457763,,,4.985219332681665,-119.90503989183884,-0.16313320673262632,12.97263360050616,24.2424442273804,-33.22399311345557,3.49,1.6,,,,82.6,2716.0,6.5,632919,657277,457763,474832,600303,446334,543063,543105,573262,664774,53.99,,,0.0,1.0,0.0,0.0,,23,5,Slider,2,0,0,2,0,2,0,2,Strategic,Standard,58.0,0.026000000000000002,-0.215
16,SI,2021-08-17,94.0,-1.7,5.2,"Alonso, Pete",624413,657277,,foul,,,,,8,Pete Alonso strikes out swinging.,R,R,R,SF,NYM,S,,,2,1,2021,-1.3,0.09,0.01,1.73,,,,0,4,Top,,,,,457763,,,7.415444309548567,-136.83153341989814,-3.5620899947117155,-17.94491920558768,26.72485920379361,-30.501854905313788,3.49,1.6,2.0,65.2,-40.0,95.6,1837.0,6.9,632919,657277,457763,474832,600303,446334,543063,543105,573262,664774,53.59,,,,,,,,23,4,Sinker,2,0,0,2,0,2,0,2,Strategic,Standard,242.0,0.0,-0.068
17,SI,2021-08-17,93.1,-1.79,5.2,"Alonso, Pete",624413,657277,,called_strike,,,,,6,Pete Alonso strikes out swinging.,R,R,R,SF,NYM,S,,,2,0,2021,-1.16,0.11,0.39,2.64,,,,0,4,Top,,,,,457763,,,8.193062050411065,-135.4965825884517,-1.102999219012934,-15.991567271295311,26.414254792658834,-30.803915527825733,3.32,1.6,,,,94.1,1864.0,6.6,632919,657277,457763,474832,600303,446334,543063,543105,573262,664774,53.86,,,,,,,,23,3,Sinker,2,0,0,2,0,2,0,2,Strategic,Standard,241.0,0.0,-0.065
18,SI,2021-08-17,91.6,-1.72,5.19,"Alonso, Pete",624413,657277,,ball,,,,,13,Pete Alonso strikes out swinging.,R,R,R,SF,NYM,B,,,1,0,2021,-1.19,-0.06,-0.09,1.37,,,,0,4,Top,,,,,457763,,,6.793475611786424,-133.30818336367744,-3.72479738682913,-15.671471679954553,27.2813986428253,-32.271737954113306,3.34,1.6,,,,92.9,1820.0,6.9,632919,657277,457763,474832,600303,446334,543063,543105,573262,664774,53.58,,,,,,,,23,2,Sinker,2,0,0,2,0,2,0,2,Strategic,Standard,247.0,0.0,0.067
19,SI,2021-08-17,92.6,-1.63,5.27,"Alonso, Pete",624413,657277,,ball,,,,,14,Pete Alonso strikes out swinging.,R,R,R,SF,NYM,B,,,0,0,2021,-1.07,0.07,1.9,1.72,,,,0,4,Top,,,,,457763,,,11.404648784088973,-134.4125026319677,-3.3932050490675323,-15.419178376503325,28.67475847102528,-30.78282263081616,3.17,1.6,,,,93.2,1786.0,6.7,632919,657277,457763,474832,600303,446334,543063,543105,573262,664774,53.75,,,,,,,,23,1,Sinker,2,0,0,2,0,2,0,2,Strategic,Standard,248.0,0.0,0.039
