G,	PA,	AB,	R,	H,	2B,	3B,	HR,	RBI,SB,	CS,	BB,	SO,	BA,	  OBP,	SLG,	OPS,	OPS+,	TB,	GDP,	HBP,   SH,	SF,	IBB, ROE
96,	420,388,66,	125,17,	3,	18,	49,	21,	3,  26,	77,	.322, .369,	.521,	.890,	145,	202, 13,	4,  	0,	2,	0, 1
96,	420,388,66,	125,17,	3,	18,	49,	21,	3,  26,	77,	.322, .369,	.521,	.890,	145,	202, 13,	4,  	0,	2,	0, 1
96,	420,388,66,	125,17,	3,	18,	49,	21,	3,  26,	77,	.322, .369,	.521,	.890,	145,	202, 13,	4,  	0,	2,	0, 1
96,	420,388,66,	125,17,	3,	18,	49,	21,	3,  26,	77,	.322, .369,	.521,	.890,	145,	202, 13,	4,  	0,	2,	0, 1
96,	420,388,66,	125,17,	3,	18,	49,	21,	3,  26,	77,	.322, .369,	.521,	.890,	145,	202, 13,	4,  	0,	2,	0, 1
96,	420,388,66,	125,17,	3,	18,	49,	21,	3,  26,	77,	.322, .369,	.521,	.890,	145,	202, 13,	4,  	0,	2,	0, 1
96,	420,388,66,	125,17,	3,	18,	49,	21,	3,  26,	77,	.322, .369,	.521,	.890,	145,	202, 13,	4,  	0,	2,	0, 1
96,	420,388,66,	125,17,	3,	18,	49,	21,	3,  26,	77,	.322, .369,	.521,	.890,	145,	202, 13,	4,  	0,	2,	0, 1
96,	420,388,66,	125,17,	3,	18,	49,	21,	3,  26,	77,	.322, .369,	.521,	.890,	145,	202, 13,	4,  	0,	2,	0, 1
